"game_id","season","type","date_time_GMT","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2016020045","20162017","R","2016-10-19T00:30:00Z","4","16",4,7,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2017020812","20172018","R","2018-02-07T00:00:00Z","24","7",4,3,"away win OT","left","KeyBank Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2015020314","20152016","R","2015-11-24T01:00:00Z","21","52",4,1,"away win REG","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2015020849","20152016","R","2016-02-17T00:00:00Z","52","12",1,2,"home win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020586","20172018","R","2017-12-30T03:00:00Z","20","24",1,2,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2016020610","20162017","R","2017-01-10T00:30:00Z","15","8",4,1,"away win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2015020606","20152016","R","2016-01-08T03:30:00Z","10","26",1,2,"home win REG","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2017020240","20172018","R","2017-11-10T03:00:00Z","23","24",1,4,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2017020624","20172018","R","2018-01-05T02:00:00Z","29","21",0,2,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2015020346","20152016","R","2015-11-29T00:00:00Z","22","5",3,2,"away win OT","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020221","20172018","R","2017-11-07T01:30:00Z","52","25",4,1,"away win REG","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2016020298","20162017","R","2016-11-24T03:30:00Z","2","26",2,4,"home win REG","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2017020731","20172018","R","2018-01-23T02:00:00Z","2","53",2,3,"home win OT","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2016020205","20162017","R","2016-11-11T02:00:00Z","52","53",3,2,"away win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2016020246","20162017","R","2016-11-18T00:00:00Z","52","4",2,5,"home win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016020107","20162017","R","2016-10-28T23:30:00Z","16","1",3,2,"away win OT","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016021020","20162017","R","2017-03-14T01:00:00Z","5","20",3,4,"home win OT","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2017020986","20172018","R","2018-03-02T01:30:00Z","14","25",5,4,"away win OT","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2017021124","20172018","R","2018-03-20T23:00:00Z","22","12",7,3,"away win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
